age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
22,,,Pelle,0,,,Boerma,0,2710.0,1855,1600,0,0,,
19,,,Roee,0,,,Benya,0,3026.0,1855,1519,0,0,,
,Two-Handed Backhand,Mexico,Juan Ignacio,0,(0cm),Left-Handed,Batalla,0,8623.0,1855,1432,0,0,(77kg),
21,,,Facundo,0,,,Arias Bisso,0,1040.0,1855,1824,0,0,,
20,,,Ran,0,,,Amar,0,4352.0,1855,1507,0,0,,
20,,,Bingyu,0,,,Yu,0,5044.0,1811,1571,0,0,,
26,,,Bartosz,0,,,Wojnar,0,12964.0,1811,1268,0,0,,
,,,Lodewijk,0,,,Weststrate,0,1182.0,1811,1764,0,0,,
21,,,Eduard,0,,,Vlasceanu,0,938.0,1811,1606,0,0,,
25,Two-Handed Backhand,Spain,David,0,(188cm),Right-Handed,Vega Hernandez,1,148940.0,1811,403,0,0,(78kg),
21,,,Henrik,0,,,Traskin,0,1410.0,1497,1497,0,0,,
17,,,Daniel,0,,,Siniakov,0,1211.0,0,1782,0,0,,
19,,,Digvijaypratap,0,,,Singh,0,1095.0,1811,1811,0,0,,
22,,,Muzingaye,0,,,Sibanda,0,1708.0,1811,1692,0,0,,
24,Two-Handed Backhand,Montenegro,Igor,0,(193cm),Right-Handed,Saveljic,0,4523.0,1811,1340,0,0,(82kg),
23,,,Patric,0,,,Prinoth,0,3785.0,1811,1790,0,0,,
20,,,Denis,0,,,Parshutin,0,1652.0,1811,1789,0,0,,
21,,,Nicolas,0,,,Parizzia,0,3614.0,1811,1394,0,0,,
25,Two-Handed Backhand,,Hao Yuan,0,,Right-Handed,Ng,0,5159.0,1811,1498,0,0,,
31,Unknown Backhand,Korea,Ju-Hae,0,(170cm),Left-Handed,Moon,0,15732.0,1811,971,0,0,(54kg),
18,,,Wulfrano,0,,,Martinez Mora Esdras,0,834.0,1811,1757,0,0,,
17,,,Tomas,0,,,Luis,0,1192.0,1858,1811,0,0,,
20,Two-Handed Backhand,,Dominik,0,,Right-Handed,Langmajer,0,4606.0,1811,1811,0,0,,
25,Unknown Backhand,France,Jonathan,0,(180cm),Left-Handed,Kanar,0,46731.0,1811,491,0,0,(72kg),
30,,,Dmytro,0,,,Kamynin,0,14773.0,1811,979,0,0,,
19,,,JanMagnus,0,,,Johnson,0,1988.0,1811,1811,0,0,,
23,,,Shinnosuke,0,,,Hiramatsu,0,3610.0,1811,1699,0,0,,
18,,,Roni Mikael,0,,,Hietaranta,0,2578.0,1811,1493,0,0,,
25,Two-Handed Backhand,,Alexios,0,,Left-Handed,Halebian,1,65635.0,0,537,0,0,,
19,,,Edoardo,0,,,Graziani,0,1754.0,1811,1692,0,0,,
22,,,Gui,0,,,Gomes,0,1774.0,1811,1704,0,0,,
20,,,Mohamad,0,,,Gomaa,0,1032.0,1811,1692,0,0,,
23,Unknown Backhand,,Charles,0,(178cm),Right-Handed,Force,0,5626.0,1811,1811,0,0,(78kg),
22,Two-Handed Backhand,,Ishaque,0,,Right-Handed,Eqbal,0,1284.0,1811,1580,0,0,,
21,,,Sylvester,0,,,Emmanuel,0,10375.0,1811,1097,0,0,,
19,Two-Handed Backhand,,Alec,0,(193cm),Right-Handed,Deckers,0,3089.0,1811,1400,0,0,(82kg),
19,,,Doru Junior,0,,,Borsan,0,1092.0,1811,1692,0,0,,
29,Two-Handed Backhand,,David,0,(180cm),Right-Handed,Barclay,1,11247.0,1811,1520,0,1,(77kg),
